Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06239	Lck	2.538174668	0.974694135	3.512868802	3.673664139	-3.901040204	-3.966612869	0.129339667	18.11111111
P08631	HCK	2.246103076	0.974694135	3.220797211	3.673664139	-4.143829193	-4.178024279	0.149295713	12.33333333
P08922	Ros	1.748516212	0.974694135	2.723210347	2.701422803	-4.800619468	-4.800619468	0	4
P42679	CTK	1.274020156	0.974694135	2.248714291	2.27572413	-3.412956491	-3.415591882	0.156322968	23
P21860	HER3	1.139777052	0.974694135	2.114471186	2.242300375	-3.255961751	-3.224857064	0.184026852	32.33333333
P09619	PDGFR[beta]	1.444339921	0.974694135	2.419034055	2.226506108	-3.890412573	-3.773879794	0.170523527	9.555555556
P07948	Lyn	1.008585728	0.974694135	1.983279863	2.040195683	-3.539587542	-3.571119862	0.133348496	10.55555556
P12931	Src	1.072000661	0.974694135	2.046694796	2.010906307	-3.305444122	-3.326119389	0.109678532	21.88888889
O60674	JAK2	1.048791893	0.974694135	2.023486028	1.949388269	-3.353441239	-3.324116713	0.129959087	21.22222222
Q05397	FAK1	0.774809966	0.974694135	1.7495041	1.93330145	-3.028217232	-3.07791775	0.238665279	34.33333333
P51451	BLK	0.865059649	0.974694135	1.839753783	1.925476112	-3.464407627	-3.560975147	0.331401976	13.22222222
P29597	Tyk2	0.94342106	0.974694135	1.918115195	1.917789283	-3.869023564	-3.869023564	0	5
P16591	Fer	0.940462004	0.974694135	1.915156139	1.87432359	-3.43894763	-3.487861473	0.518194253	10.44444444
P07947	Yes	0.815845988	0.974694135	1.790540122	1.82240579	-3.327855864	-3.331146065	0.124168001	14.77777778
P52333	JAK3	0.708481004	0.974694135	1.683175139	1.770574152	-3.500572601	-3.677161343	0.209408487	5.555555556
P51813	Etk/BMX	0.695695851	0.974694135	1.670389986	1.739165688	-3.132148986	-3.095487184	0.114355098	24.77777778
P29317	EphA2	0.716923321	0.974694135	1.691617456	1.714622747	-3.370191021	-3.33680714	0.125834046	8.444444444
P54753	EphB3	0.730487056	0.974694135	1.705181191	1.705181191	-3.695066015	-3.695066015	NA	3
P11362	FGFR1	0.501531791	0.974694135	1.476225926	1.669342765	-2.882425744	-3.187195983	0.401463549	14.11111111
P16234	PDGFR[alpha]	0.750839157	0.974694135	1.725533292	1.632271454	-3.790324747	-3.594062986	0.389444859	3.777777778
Q12866	Mer	0.589269169	0.974694135	1.563963303	1.612966299	-2.963370795	-3.021111037	0.134782399	39.77777778
P06241	Fyn	0.716221274	0.974694135	1.690915409	1.587304308	-3.417479394	-3.21574886	0.556819306	7.777777778
Q04912	Ron	0.563118079	0.974694135	1.537812214	1.561656733	-3.353874234	-3.405464498	0.142067109	4.5
P54762	EphB1	0.575523361	0.974694135	1.550217496	1.554816885	-3.57282557	-3.57282557	0	3
Q14289	FAK2	0.662620001	0.974694135	1.637314136	1.546559341	-3.151406172	-3.060958667	0.216335738	21.66666667
Q08881	ITK	0.480374441	0.974694135	1.455068576	1.509311283	-2.978312319	-3.052147711	0.192610613	27.66666667
P00519	Abl	0.474237934	0.974694135	1.448932069	1.488972708	-2.931525277	-2.938193279	0.091972824	37.88888889
P22455	FGFR4	0.523577016	0.974694135	1.49827115	1.486143418	-3.014446303	-3.027033656	0.093464569	20.22222222
P14616	IRR	0.805910357	0.974694135	1.780604491	1.466871775	-3.671682948	-3.16560709	0.784009348	4.333333333
Q13882	Brk	0.563098528	0.974694135	1.537792663	1.458820291	-2.948380326	-2.94359504	0.151966008	45.55555556
P08069	IGF1R	0.552717314	0.974694135	1.527411448	1.435618036	-3.162835591	-3.049475803	0.343923419	10.11111111
P09769	Fgr	0.50341008	0.974694135	1.478104215	1.418592789	-3.24613792	-3.127060673	0.415912298	4.75
P06213	InSR	0.462433211	0.974694135	1.437127346	1.397202335	-2.995205453	-2.928802336	0.13723113	15.88888889
P54764	EphA4	0.421518518	0.974694135	1.396212653	1.397202335	-3.091042533	-3.154571085	0.086990052	4.6
P42680	TEC	0.376717497	0.974694135	1.351411631	1.38810683	-2.87597557	-2.897288775	0.090945077	32.22222222
H0Y8A4	RYK	0.390969475	0.974694135	1.365663609	1.385862409	-2.997934067	-3.066899606	0.336820895	4.285714286
P41240	CSK	0.404533275	0.974694135	1.379227409	1.383629528	-2.877521161	-2.912730621	0.150044062	33
P29376	LTK	0.427008871	0.974694135	1.401703005	1.383270055	-3.052614684	-3.005085788	0.222063302	10.375
P35916	FLT4	0.400883385	0.974694135	1.37557752	1.375360094	-2.976686724	-2.981789801	0.175323351	9.75
Q08345	DDR1	0.393748722	0.974694135	1.368442857	1.367346371	-3.101570823	-3.101570823	0	3
P54760	EphB4	0.36320683	0.974694135	1.337900965	1.335207645	-2.941439032	-2.941439032	0	3
Q9H3Y6	Srm	0.333634068	0.974694135	1.308328203	1.333220024	-2.864621089	-2.906067517	0.087197422	26.11111111
P29323	EphB2	0.347935768	0.974694135	1.322629902	1.322629902	-2.959848811	-2.959848811	0	5
Q16288	TRKC	0.376508087	0.974694135	1.351202222	1.317638282	-2.932341928	-2.931622921	0.086841035	15.77777778
P29322	EphA8	0.351528	0.974694135	1.326222134	1.315078626	-2.957370564	-2.954432213	0.100391811	3.75
P42685	FRK	0.33270476	0.974694135	1.307398895	1.313828657	-2.854181051	-2.853449621	0.045631828	33.55555556
P43403	ZAP70	0.36563852	0.974694135	1.340332654	1.313828657	-2.852866866	-2.849550146	0.083824719	47.11111111
P42684	Arg	0.504370377	0.974694135	1.479064512	1.304448282	-2.882406315	-2.834168425	0.16776367	37.33333333
P22607	FGFR3	0.356394095	0.974694135	1.331088229	1.279212458	-2.862100762	-2.826724543	0.225276758	11
Q9UM73	ALK	0.258188353	0.974694135	1.232882488	1.272263598	-2.718832591	-2.823184978	0.200362037	32.33333333
P35968	KDR	0.241706282	0.974694135	1.216400417	1.240694848	-2.726231655	-2.83258246	0.163579326	13.77777778
Q16620	TRKB	0.247094359	0.974694135	1.221788493	1.218819279	-2.709442132	-2.747076164	0.210374428	17.33333333
P07949	Ret	0.287165836	0.974694135	1.261859971	1.211266141	-2.734930568	-2.690378642	0.265069958	11.66666667
P54756	EphA5	0.217249589	0.974694135	1.191943724	1.211266141	-2.55788794	-2.678451171	0.229909367	5.4
P04629	TRKA	0.247416437	0.974694135	1.222110572	1.208281288	-2.697976077	-2.731546781	0.205705711	10.66666667
P29320	EphA3	0.206174587	0.974694135	1.180868722	1.200182689	-2.545581675	-2.640154574	0.213654069	4.75
P07333	FmS/CSFR	0.282085087	0.974694135	1.256779222	1.161780778	-2.693173047	-2.532247602	0.733549257	6.6
Q06187	BTK	0.196412635	0.974694135	1.17110677	1.159116386	-2.661058676	-2.669941659	0.075429972	16.66666667
P07332	Fes	0.189306479	0.974694135	1.164000614	1.151219906	-2.62143806	-2.586991052	0.159584959	11.11111111
P23458	JAK1~b	0.156156261	0.974694135	1.130850396	1.149272384	-2.293472949	-2.530760151	0.474574404	4.5
P42681	TXK	0.141284417	0.974694135	1.115978552	1.125889434	-2.437645099	-2.65796788	0.426687727	20
Q15375	EphA7	0.165539712	0.974694135	1.140233847	1.124660877	-2.405122885	-2.377959762	0.047047908	4.666666667
P08581	Met	0.353231715	0.974694135	1.32792585	1.11856969	-2.821163005	-2.650127627	0.330650564	29.44444444
Q13308	CCK4/PTK7	0.146357838	0.974694135	1.121051973	1.117361638	-2.162317583	-2.162317583	0	3
P10721	Kit	0.177874005	0.974694135	1.15256814	1.114955569	-2.612682659	-2.53961557	0.160099019	11.33333333
P21709	EphA1	0.149986201	0.974694135	1.124680336	1.111097619	-2.202249509	-2.149568297	0.402410949	3.666666667
P21802	FGFR2	0.189764313	0.974694135	1.164458447	1.106637773	-2.504827333	-2.298559937	0.336040743	9.888888889
Q15303	HER4	0.213235725	0.974694135	1.187929859	1.083714538	-2.6926742	-2.573934342	0.268253084	23.33333333
P30530	Axl	0.175080381	0.974694135	1.149774515	1.081487382	-2.727677367	-2.683330494	0.157484834	46.11111111
P00533	EGFR	0.164455155	0.974694135	1.13914929	1.079271589	-2.704869009	-2.654906544	0.120136709	38.22222222
P04626	HER2	0.097786557	0.974694135	1.072480692	1.057714087	-2.52307404	-2.498140454	0.152947774	25.77777778
P17948	FLT1	0.095626639	0.974694135	1.070320774	1.055616042	-2.415342756	-2.344869068	0.175328549	16.44444444
P36888	FLT3	0.103629775	0.974694135	1.07832391	1.047323772	-2.274906187	-2.281375347	0.326072472	9.571428571
Q06418	Tyro3/Sky	0.069454194	0.974694135	1.044148329	1.037176243	-2.554158295	-2.552018274	0.037315172	34.22222222
P43405	Syk	0.050713642	0.974694135	1.025407777	1.018525704	-2.602821835	-2.600356704	0.053359539	53.33333333
O14757	CHK1	2.445269868	0.974694135	3.419964003	3.372634143	-5.48032838	-5.444163046	0.287672458	8
Q13153	PAK1	2.060293477	0.974694135	3.034987611	3.071604148	-5.445726776	-5.445726776	0	6
Q9UIK4	DAPK2	2.068701374	0.974694135	3.043395509	3.071604148	-6.538327503	-6.319942168	0.534932638	3.833333333
Q96GD4	AurB/Aur1	2.092855817	0.974694135	3.067549952	2.974694135	-6.257012591	-6.458433335	0.552321897	4.111111111
P49137	MAPKAPK2	1.638031186	0.974694135	2.61272532	2.632271454	-3.717423995	-3.648842505	0.215429417	28.44444444
Q16644	MAPKAPK3	1.414804134	0.974694135	2.389498269	2.372634143	-3.55199845	-3.503505544	0.276132179	33.66666667
Q14164	IKK[epsilon]	1.461569848	0.974694135	2.436263982	2.311936303	-4.849698238	-4.691914567	0.474109793	6.666666667
P51817	PRKX	1.247469709	0.974694135	2.222163844	2.226506108	-3.554446875	-3.515686281	0.308469595	30.77777778
O95819	HGK/ZC1	1.23431144	0.974694135	2.209005574	2.211266141	-4.888523751	-4.965408991	0.189918859	4.714285714
O15075	DCAMKL1	1.17920184	0.974694135	2.153895974	2.189422665	-4.882669877	-4.882669877	0	4
P10398	ARAF	1.197147378	0.974694135	2.171841513	2.168514161	-5.364637759	-5.364637759	0	3
P15056	BRAF	1.173819653	0.974694135	2.148513788	2.168514161	-5.275908628	-5.364637759	0.266187394	3.111111111
P16066	ANP[alpha]	1.041189774	0.974694135	2.015883909	2.060880282	-3.522581418	-3.538331513	0.120118704	23.88888889
Q15349	RSK1/p90RSK	1.030974708	0.974694135	2.005668843	1.992422902	-4.330334287	-4.330334287	0	6
P48729	CK1[alpha]	0.895470696	0.974694135	1.87016483	1.93330145	-3.778238922	-3.809908647	0.291046651	9.888888889
O14965	AurA/Aur2	0.938038902	0.974694135	1.912733037	1.895512889	-4.229396247	-4.264483356	0.105261327	5.111111111
P31751	Akt2/PKB[beta]	0.806143636	0.974694135	1.780837771	1.867484165	-3.320667765	-3.362877808	0.171650006	27.11111111
Q9UPZ9	ICK	0.877991075	0.974694135	1.85268521	1.841155226	-4.640234625	-4.640234625	0	3
P31749	Akt1/PKB[alpha]	0.963665846	0.974694135	1.938359981	1.834815048	-3.387087471	-3.347572626	0.183824757	29.11111111
P04049	RAF1	0.867410984	0.974694135	1.842105119	1.798602876	-4.041793146	-4.10492501	0.264169592	6.333333333
O75582	MSK1	0.729113852	0.974694135	1.703807987	1.695940534	-3.707421033	-3.707421033	0	8
